phrase
r'abridge (and dragon )?(ai|a.i.|a-i|voice|scribe|used|artificial intelligence|app|recording|for recording|utilized|summary|speech|virtual scribe)'
r'(consented|agreed) to (use |using |utilize |utilizing |use of |the use of )?(the )?abridge'
r'(received|obtained) consent (by|from).+to use abridge'
r'abridge (consent|permission) (given|obtained)'
r'(consent|permission) for abridge (given|obtained)'
r'contains text generated by abridge'
r'(all parties|patient)( present)?( verbally)? consent(ed)? (to|for) the( use of)? (visit recording|abridge)'
r'patient consented for the use of abridge'
r'ai software'
r'ai abridge'
r'(dictated|created) with abridge'
r'abridge for note transcription'
r'abridge and may (contain|have) (inherent )?errors'
r'(powermic|dragon|dax) (and|or) abridge'
r'abridge note'
